,Model,Publication Year,Research Areas
161,VGG,2021,Engineering
162,VGG,2021,"Radiology, Nuclear Medicine & Medical Imaging"
163,VGG,2019,Science & Technology - Other Topics
164,VGG,2021,Computer Science
165,VGG,2021,Materials Science
166,VGG,2020,Computer Science
167,VGG,2020,Engineering
168,VGG,2020,Imaging Science & Photographic Technology
169,VGG,2020,Engineering
170,VGG,2020,Science & Technology - Other Topics
171,VGG,2020,Physics
172,VGG,2020,Engineering
173,VGG,2020,Telecommunications
174,VGG,2021,Computer Science
175,VGG,2019,Oncology
176,VGG,2021,Automation & Control Systems
177,VGG,2020,Engineering
178,VGG,2020,"Radiology, Nuclear Medicine & Medical Imaging"
179,VGG,2020,Others
180,VGG,2021,Others
181,VGG,2019,Computer Science
182,VGG,2020,Engineering
183,VGG,2020,Optics
184,VGG,2020,"Radiology, Nuclear Medicine & Medical Imaging"
185,VGG,Before 2000,Biochemistry & Molecular Biology
186,VGG,Before 2000,Biophysics
187,VGG,2018,Engineering
188,VGG,2018,Telecommunications
189,VGG,2022,Chemistry
190,VGG,2022,Engineering
191,VGG,2022,Materials Science
192,VGG,2022,Physics
193,VGG,2021,Computer Science
194,VGG,2021,Engineering
195,VGG,2021,Computer Science
196,VGG,2021,Engineering
197,VGG,2021,Telecommunications
198,VGG,2021,Energy & Fuels
199,VGG,2020,Computer Science
200,VGG,2020,Engineering
201,VGG,2020,Imaging Science & Photographic Technology
202,VGG,2022,"Radiology, Nuclear Medicine & Medical Imaging"
203,VGG,2020,Computer Science
204,VGG,2022,Engineering
205,VGG,2022,Optics
206,VGG,2022,Imaging Science & Photographic Technology
207,VGG,2022,Computer Science
208,VGG,2022,Engineering
209,VGG,2022,Medical Informatics
210,VGG,2021,Computer Science
211,VGG,2022,Health Care Sciences & Services
212,VGG,2022,Computer Science
213,VGG,2022,Engineering
214,VGG,2019,Computer Science
215,VGG,2019,Engineering
216,VGG,2019,Imaging Science & Photographic Technology
217,VGG,2022,Engineering
218,VGG,2021,Computer Science
219,VGG,2021,Engineering
220,VGG,2021,Telecommunications
221,VGG,2019,Computer Science
222,VGG,2019,Imaging Science & Photographic Technology
223,VGG,2019,Telecommunications
224,VGG,2022,Chemistry
225,VGG,2022,Engineering
226,VGG,2022,Instruments & Instrumentation
227,VGG,2020,Instruments & Instrumentation
228,VGG,2020,Materials Science
229,VGG,2019,Computer Science
230,VGG,2022,Science & Technology - Other Topics
231,VGG,2021,Computer Science
232,VGG,2021,Computer Science
233,VGG,2021,Computer Science
234,VGG,2022,Engineering
235,VGG,2022,Others
236,VGG,2018,Engineering
237,VGG,2018,Imaging Science & Photographic Technology
238,VGG,2018,"Radiology, Nuclear Medicine & Medical Imaging"
239,VGG,2018,Computer Science
240,VGG,2018,Engineering
241,VGG,2021,Computer Science
242,VGG,2021,Engineering
243,VGG,2021,Telecommunications
244,VGG,2021,Engineering
245,VGG,2021,"Radiology, Nuclear Medicine & Medical Imaging"
246,VGG,2022,Optics
247,VGG,2019,Computer Science
248,VGG,2019,Engineering
249,VGG,2019,Computer Science
250,VGG,2022,Computer Science
251,VGG,2022,Engineering
252,VGG,2022,Computer Science
253,VGG,2021,Engineering
254,VGG,2021,Optics
255,VGG,2021,Imaging Science & Photographic Technology
256,VGG,2022,Computer Science
257,VGG,2020,Computer Science
258,VGG,2020,Telecommunications
259,VGG,2020,General & Internal Medicine
260,VGG,2021,Computer Science
261,VGG,2021,Mathematics
262,VGG,2019,Automation & Control Systems
263,VGG,2019,Computer Science
264,VGG,2019,Engineering
265,VGG,2019,Remote Sensing
266,VGG,2019,Optics
267,VGG,2020,Computer Science
268,VGG,2020,Engineering
269,VGG,2020,Optics
270,VGG,2020,Imaging Science & Photographic Technology
271,VGG,2022,Computer Science
272,VGG,2022,Engineering
273,VGG,2018,Geochemistry & Geophysics
274,VGG,2021,Computer Science
275,VGG,2021,Engineering
276,VGG,2020,Geochemistry & Geophysics
277,VGG,2021,Engineering
278,VGG,2021,General & Internal Medicine
279,VGG,2021,Computer Science
280,VGG,2022,Engineering
281,VGG,2022,Geology
282,VGG,2022,Others
283,VGG,2018,Engineering
284,VGG,2020,Computer Science
285,VGG,2020,Engineering
286,VGG,2018,Computer Science
287,VGG,2018,Engineering
288,VGG,2018,Telecommunications
289,VGG,2021,Computer Science
290,VGG,2021,Telecommunications
291,VGG,2022,Others
292,VGG,2022,Mathematical & Computational Biology
293,VGG,2022,Neurosciences & Neurology
294,VGG,2021,Environmental Sciences & Ecology
295,VGG,2021,Others
296,VGG,2021,Remote Sensing
297,VGG,2020,Computer Science
298,VGG,2020,Optics
299,VGG,2019,Engineering
300,VGG,2018,Computer Science
301,VGG,2018,Telecommunications
302,VGG,2020,Engineering
303,VGG,2022,Chemistry
304,VGG,2022,Engineering
305,VGG,2022,Materials Science
306,VGG,2022,Physics
307,VGG,2022,Computer Science
308,VGG,2017,Engineering
309,VGG,2021,Agriculture
310,VGG,2021,Others
311,VGG,2022,Science & Technology - Other Topics
312,VGG,2022,Energy & Fuels
313,VGG,2021,Computer Science
314,VGG,2021,Engineering
315,VGG,2021,Telecommunications
316,VGG,2020,Chemistry
317,VGG,2020,Engineering
318,VGG,2020,Materials Science
319,VGG,2020,Physics
320,VGG,2018,Automation & Control Systems
321,VGG,2020,Chemistry
322,VGG,2020,Engineering
323,VGG,2020,Materials Science
324,VGG,2020,Physics
325,VGG,2020,Engineering
326,VGG,2021,Others
327,VGG,2021,Engineering
328,VGG,2021,Instruments & Instrumentation
329,VGG,2020,Automation & Control Systems
330,VGG,2020,Computer Science
331,VGG,2020,Engineering
332,VGG,2021,Computer Science
333,VGG,2021,Engineering
334,VGG,2022,Computer Science
335,VGG,2022,Telecommunications
336,VGG,2022,Construction & Building Technology
337,VGG,2022,Engineering
338,VGG,2022,Others
339,VGG,2021,Others
340,VGG,2021,Others
341,VGG,2022,Computer Science
342,VGG,2022,Engineering
343,VGG,2022,Physics
344,VGG,2020,Chemistry
345,VGG,2020,Engineering
346,VGG,2020,Materials Science
347,VGG,2020,Physics
348,VGG,2021,Science & Technology - Other Topics
349,VGG,2021,Computer Science
350,VGG,2020,Engineering
351,VGG,2020,Mathematical & Computational Biology
352,VGG,2022,Computer Science
353,VGG,2021,Computer Science
354,VGG,2022,Computer Science
355,VGG,2017,Computer Science
356,VGG,2020,Engineering
357,VGG,2017,Computer Science
358,VGG,2017,Engineering
359,VGG,2019,Computer Science
360,VGG,2019,Engineering
361,VGG,2019,Telecommunications
362,VGG,2021,Computer Science
363,VGG,2021,Engineering
364,VGG,2021,Imaging Science & Photographic Technology
365,VGG,2021,Optics
366,VGG,2022,Engineering
367,VGG,2019,Automation & Control Systems
368,VGG,2019,Engineering
369,VGG,2019,Robotics
370,VGG,2022,Computer Science
371,VGG,2020,Automation & Control Systems
372,VGG,2020,Computer Science
373,VGG,2020,Robotics
374,VGG,2022,Computer Science
375,VGG,2021,Computer Science
376,VGG,2021,Engineering
377,VGG,2021,Robotics
378,VGG,2021,Telecommunications
379,VGG,2021,Automation & Control Systems
380,VGG,2021,Computer Science
381,VGG,2021,Engineering
382,VGG,2021,Mathematics
383,VGG,2022,Instruments & Instrumentation
384,VGG,2019,Oncology
385,VGG,2019,Others
386,VGG,2021,Automation & Control Systems
387,VGG,2021,Computer Science
388,VGG,2022,Computer Science
389,VGG,2022,Engineering
390,VGG,2021,Engineering
391,VGG,2021,Mathematics
392,VGG,2022,Construction & Building Technology
393,VGG,2022,Engineering
394,VGG,2022,Instruments & Instrumentation
395,VGG,2020,Computer Science
396,VGG,2020,Optics
397,VGG,2020,Imaging Science & Photographic Technology
398,VGG,2020,Computer Science
399,VGG,2020,Engineering
400,VGG,2021,Computer Science
401,VGG,2021,Materials Science
402,VGG,2022,Science & Technology - Other Topics
403,VGG,2022,Environmental Sciences & Ecology
404,VGG,2020,Computer Science
405,VGG,2020,Engineering
406,VGG,2020,Telecommunications
407,VGG,2019,Computer Science
408,VGG,2019,Engineering
409,VGG,2019,Telecommunications
410,VGG,2020,Computer Science
411,VGG,2020,Instruments & Instrumentation
412,VGG,2020,Imaging Science & Photographic Technology
413,VGG,2021,Computer Science
414,VGG,2021,Engineering
415,VGG,2018,Computer Science
416,VGG,2018,Engineering
417,VGG,2021,Computer Science
418,VGG,2022,Chemistry
419,VGG,2022,Engineering
420,VGG,2022,Materials Science
421,VGG,2022,Physics
422,VGG,2022,Environmental Sciences & Ecology
423,VGG,2022,Geology
424,VGG,2022,Remote Sensing
425,VGG,2022,Imaging Science & Photographic Technology
426,VGG,2021,Others
427,VGG,2021,Computer Science
428,VGG,2019,Computer Science
429,VGG,2019,Engineering
430,VGG,2019,Telecommunications
431,VGG,2020,Computer Science
432,VGG,2022,Automation & Control Systems
433,VGG,2022,Robotics
434,VGG,2021,Mathematics
435,VGG,2021,Physics
436,VGG,2017,Acoustics
437,VGG,2017,Engineering
438,VGG,2022,Oncology
439,VGG,2017,Computer Science
440,VGG,2017,Imaging Science & Photographic Technology
441,VGG,2020,Computer Science
442,VGG,2020,Engineering
443,VGG,2020,Transportation
444,VGG,2017,Engineering
445,VGG,2017,Telecommunications
446,VGG,2020,Engineering
447,VGG,2020,Others
448,VGG,2020,Computer Science
449,VGG,2020,Engineering
450,VGG,2017,Engineering
451,VGG,2017,Telecommunications
452,VGG,2022,Computer Science
453,VGG,2022,Engineering
454,VGG,2022,Physics
455,VGG,2022,Computer Science
456,VGG,2022,Engineering
457,VGG,2022,Computer Science
458,VGG,2022,Engineering
459,VGG,2020,Instruments & Instrumentation
460,VGG,2020,Materials Science
461,VGG,2016,Engineering
462,VGG,2016,Optics
463,VGG,2020,Computer Science
464,VGG,2020,Engineering
465,VGG,2022,Environmental Sciences & Ecology
466,VGG,2022,Others
467,VGG,2022,Others
468,VGG,2020,Computer Science
469,VGG,2022,Computer Science
470,VGG,2021,Computer Science
471,VGG,2022,Computer Science
472,VGG,2022,Instruments & Instrumentation
473,VGG,2022,Physics
474,VGG,2019,Computer Science
475,VGG,2019,Computer Science
476,VGG,2019,Telecommunications
477,VGG,2021,Computer Science
478,VGG,2021,Imaging Science & Photographic Technology
479,VGG,2020,Computer Science
480,VGG,2020,Mathematics
481,VGG,2021,Chemistry
482,VGG,2021,Engineering
483,VGG,2021,Materials Science
484,VGG,2021,Physics
485,VGG,2021,Computer Science
486,VGG,2021,Chemistry
487,VGG,2021,Engineering
488,VGG,2021,Materials Science
489,VGG,2021,Physics
490,VGG,2021,Computer Science
491,VGG,2021,Engineering
492,VGG,2021,Telecommunications
493,VGG,2019,Computer Science
494,VGG,2019,Engineering
495,VGG,2022,Computer Science
496,VGG,2022,Engineering
497,VGG,2020,Computer Science
498,VGG,2020,Engineering
499,VGG,2017,Automation & Control Systems
500,VGG,2017,Engineering
501,VGG,2021,Computer Science
502,VGG,2021,Engineering
503,VGG,2021,Computer Science
504,VGG,2021,Engineering
505,VGG,2021,Physics
506,VGG,2020,Computer Science
507,VGG,2020,Engineering
508,VGG,2020,Imaging Science & Photographic Technology
509,VGG,2019,Computer Science
510,VGG,Before 2000,Others
511,VGG,2020,Computer Science
512,VGG,2019,Automation & Control Systems
513,VGG,2022,Computer Science
514,VGG,2022,Materials Science
515,VGG,2021,Computer Science
516,VGG,2021,Health Care Sciences & Services
517,VGG,2022,General & Internal Medicine
518,VGG,2021,Computer Science
519,VGG,2021,Materials Science
520,VGG,2018,Engineering
521,VGG,2017,Computer Science
522,VGG,2017,Engineering
523,VGG,2017,Imaging Science & Photographic Technology
524,VGG,2022,Education & Educational Research
525,VGG,2018,Computer Science
526,VGG,2021,Computer Science
527,VGG,2021,Engineering
528,VGG,2021,Computer Science
529,VGG,2022,Geochemistry & Geophysics
530,VGG,2022,Computer Science
531,VGG,2022,Neurosciences & Neurology
532,VGG,2020,Automation & Control Systems
533,VGG,2019,Engineering
534,VGG,2019,"Radiology, Nuclear Medicine & Medical Imaging"
535,VGG,2021,Engineering
536,VGG,2021,Telecommunications
537,VGG,2022,Geochemistry & Geophysics
538,VGG,2022,Engineering
539,VGG,2022,Remote Sensing
540,VGG,2022,Imaging Science & Photographic Technology
541,VGG,2019,Computer Science
542,VGG,2019,Engineering
543,VGG,2020,Computer Science
544,VGG,2020,Engineering
545,VGG,2020,Computer Science
546,VGG,2020,Engineering
547,VGG,2020,Telecommunications
548,VGG,2021,General & Internal Medicine
549,VGG,2020,Computer Science
550,VGG,2020,Imaging Science & Photographic Technology
551,VGG,2021,Computer Science
552,VGG,2021,Materials Science
553,VGG,2020,Computer Science
554,VGG,2018,Optics
555,VGG,2018,"Radiology, Nuclear Medicine & Medical Imaging"
556,VGG,2022,Computer Science
557,VGG,2022,Computer Science
558,VGG,2022,Mathematics
559,VGG,2018,Computer Science
560,VGG,2017,Acoustics
561,VGG,2017,Engineering
562,VGG,2018,Computer Science
563,VGG,2022,Computer Science
564,VGG,2019,Computer Science
565,VGG,2021,Geology
566,VGG,2021,Others
567,VGG,2021,Others
568,VGG,2021,Automation & Control Systems
569,VGG,2021,Computer Science
570,VGG,2021,Computer Science
571,VGG,2021,Engineering
572,VGG,2021,Telecommunications
573,VGG,2022,Computer Science
574,VGG,2022,Materials Science
575,VGG,2017,Engineering
576,VGG,2022,Computer Science
577,VGG,2022,Engineering
578,VGG,2022,Computer Science
579,VGG,2020,Computer Science
580,VGG,2020,Engineering
581,VGG,2022,Environmental Sciences & Ecology
582,VGG,2022,Geology
583,VGG,2022,Remote Sensing
584,VGG,2022,Imaging Science & Photographic Technology
585,VGG,2021,Medical Informatics
586,VGG,2019,Geology
587,VGG,2019,Remote Sensing
588,VGG,2022,Chemistry
589,VGG,2022,Engineering
590,VGG,2022,Instruments & Instrumentation
591,VGG,2021,Computer Science
592,VGG,2020,Agriculture
593,VGG,2020,Computer Science
594,VGG,2022,Computer Science
595,VGG,2021,Engineering
596,VGG,2021,Medical Informatics
597,VGG,2022,Environmental Sciences & Ecology
598,VGG,2021,Engineering
599,VGG,2021,Operations Research & Management Science
600,VGG,2021,Mathematics
601,VGG,2020,Engineering
602,VGG,2022,Engineering
603,VGG,2022,"Radiology, Nuclear Medicine & Medical Imaging"
604,VGG,2019,Engineering
605,VGG,2021,Automation & Control Systems
606,VGG,2021,Engineering
607,VGG,2021,Robotics
608,VGG,2018,Computer Science
609,VGG,2018,Engineering
610,VGG,2018,Robotics
611,VGG,2021,Computer Science
612,VGG,2020,Agriculture
613,VGG,2020,Computer Science
614,VGG,2022,Computer Science
615,VGG,2017,Remote Sensing
616,VGG,2017,Optics
617,VGG,2017,Imaging Science & Photographic Technology
618,VGG,2020,Computer Science
619,VGG,2020,Engineering
620,VGG,2020,Telecommunications
621,VGG,2021,Imaging Science & Photographic Technology
622,VGG,2022,Computer Science
623,VGG,2021,Computer Science
624,VGG,2021,Engineering
625,VGG,2020,Engineering
626,VGG,2020,Physical Geography
627,VGG,2020,Remote Sensing
628,VGG,2020,Imaging Science & Photographic Technology
629,VGG,2019,Computer Science
630,VGG,2017,Computer Science
631,VGG,2017,Engineering
632,VGG,2019,Computer Science
633,VGG,2020,Computer Science
634,VGG,2020,Others
635,VGG,2020,"Radiology, Nuclear Medicine & Medical Imaging"
636,VGG,2020,Engineering
637,VGG,2021,Chemistry
638,VGG,2021,Engineering
639,VGG,2021,Materials Science
640,VGG,2021,Physics
641,VGG,2021,Computer Science
642,VGG,2019,Computer Science
643,VGG,2021,Engineering
644,VGG,2019,Computer Science
645,VGG,2019,Engineering
646,VGG,2022,Computer Science
647,VGG,2018,Imaging Science & Photographic Technology
648,VGG,2018,Computer Science
649,VGG,2018,Engineering
650,VGG,2022,Computer Science
651,VGG,2018,Engineering
652,VGG,2018,Instruments & Instrumentation
653,VGG,2018,Physics
654,VGG,2019,Engineering
655,VGG,2019,Engineering
656,VGG,2019,Instruments & Instrumentation
657,VGG,2019,Physics
658,VGG,2021,Computer Science
659,VGG,2022,Computer Science
660,VGG,2022,Science & Technology - Other Topics
661,VGG,2022,Engineering
662,VGG,2015,Others
663,VGG,2022,Others
664,VGG,2021,Mathematical & Computational Biology
665,VGG,2021,Computer Science
666,VGG,2021,Telecommunications
667,VGG,2022,General & Internal Medicine
668,VGG,2022,Engineering
669,VGG,2022,Others
670,VGG,2022,Materials Science
671,VGG,2017,Engineering
672,VGG,2017,Imaging Science & Photographic Technology
673,VGG,2017,"Radiology, Nuclear Medicine & Medical Imaging"
674,VGG,2018,Construction & Building Technology
675,VGG,2018,Engineering
676,VGG,2019,Automation & Control Systems
677,VGG,2019,Computer Science
678,VGG,2019,Robotics
679,VGG,2021,Computer Science
680,VGG,2020,Engineering
681,VGG,2018,Automation & Control Systems
682,VGG,2018,Computer Science
683,VGG,2018,Telecommunications
684,VGG,2021,Chemistry
685,VGG,2021,Engineering
686,VGG,2021,Instruments & Instrumentation
687,VGG,2019,Computer Science
688,VGG,2019,Imaging Science & Photographic Technology
689,VGG,2022,Computer Science
690,VGG,2022,Engineering
691,VGG,2022,Telecommunications
692,VGG,2023,Computer Science
693,VGG,2019,Computer Science
694,VGG,2019,Engineering
695,VGG,2020,Computer Science
696,VGG,2020,Engineering
697,VGG,2020,Telecommunications
698,VGG,2016,Others
699,VGG,2022,"Radiology, Nuclear Medicine & Medical Imaging"
700,VGG,2022,Computer Science
701,VGG,2022,Materials Science
702,VGG,2022,Computer Science
703,VGG,2021,Chemistry
704,VGG,2021,Engineering
705,VGG,2021,Instruments & Instrumentation
706,VGG,2021,Chemistry
707,VGG,2021,Engineering
708,VGG,2021,Materials Science
709,VGG,2021,Physics
710,VGG,2019,Computer Science
711,VGG,2019,Engineering
712,VGG,2019,Telecommunications
713,VGG,2021,Computer Science
714,VGG,2022,Oncology
715,VGG,2019,Computer Science
716,VGG,2018,Optics
717,VGG,2018,Imaging Science & Photographic Technology
718,VGG,2022,Computer Science
719,VGG,2020,Computer Science
720,VGG,2022,Computer Science
721,VGG,2022,Engineering
722,VGG,2019,Computer Science
723,VGG,2019,Optics
724,VGG,2019,Imaging Science & Photographic Technology
725,VGG,2021,Chemistry
726,VGG,2021,Engineering
727,VGG,2021,Instruments & Instrumentation
728,VGG,2021,Automation & Control Systems
729,VGG,2021,Engineering
730,VGG,2021,Operations Research & Management Science
731,VGG,2021,Robotics
732,VGG,2021,Agriculture
733,VGG,2018,Engineering
734,VGG,2018,Optics
735,VGG,2018,Imaging Science & Photographic Technology
736,VGG,2021,Computer Science
737,VGG,2021,Engineering
738,VGG,2021,Telecommunications
739,VGG,2021,Computer Science
740,VGG,2022,Computer Science
741,VGG,2022,Agriculture
742,VGG,2021,Computer Science
743,VGG,2022,Computer Science
744,VGG,2022,Computer Science
745,VGG,2022,Engineering
746,VGG,2022,Mathematics
747,VGG,2021,Engineering
748,VGG,2022,Computer Science
749,VGG,2018,Computer Science
750,VGG,2019,"Radiology, Nuclear Medicine & Medical Imaging"
751,VGG,2021,Computer Science
752,VGG,2021,Engineering
753,VGG,2018,Computer Science
754,VGG,2019,Computer Science
755,VGG,2019,Operations Research & Management Science
756,VGG,2016,Engineering
757,VGG,2020,Computer Science
758,VGG,2020,Engineering
759,VGG,2019,Computer Science
760,VGG,2016,Geochemistry & Geophysics
761,VGG,2022,Computer Science
762,VGG,2020,Others
763,VGG,2018,Computer Science
764,VGG,2018,Engineering
765,VGG,2017,Computer Science
766,VGG,2018,Computer Science
767,VGG,2021,Others
768,VGG,Before 2000,Geochemistry & Geophysics
769,VGG,2018,Computer Science
770,VGG,2018,Engineering
771,VGG,2022,Computer Science
772,VGG,2021,Oncology
773,VGG,2021,Others
774,VGG,2022,Mathematical & Computational Biology
775,VGG,2022,Biochemistry & Molecular Biology
776,VGG,2022,Others
777,VGG,2015,Geology
778,VGG,2021,General & Internal Medicine
779,VGG,2021,Mathematical & Computational Biology
780,VGG,2021,Neurosciences & Neurology
781,VGG,2021,Computer Science
782,VGG,2021,Engineering
783,VGG,2021,Telecommunications
784,VGG,2019,Computer Science
785,VGG,2019,Optics
786,VGG,2019,Science & Technology - Other Topics
787,VGG,2018,Science & Technology - Other Topics
788,VGG,2018,Automation & Control Systems
789,VGG,2018,Computer Science
790,VGG,2019,Geochemistry & Geophysics
791,VGG,2021,Agriculture
792,VGG,2017,Computer Science
793,VGG,2017,Engineering
794,VGG,2018,Computer Science
795,VGG,2018,Engineering
796,VGG,2018,Imaging Science & Photographic Technology
797,VGG,2021,Computer Science
798,VGG,2021,Engineering
799,VGG,2021,Agriculture
800,VGG,2021,Others
801,VGG,2022,Science & Technology - Other Topics
802,VGG,2022,Computer Science
803,VGG,2022,Engineering
804,VGG,2022,Imaging Science & Photographic Technology
805,VGG,2019,"Radiology, Nuclear Medicine & Medical Imaging"
806,VGG,2022,"Radiology, Nuclear Medicine & Medical Imaging"
807,VGG,2020,Automation & Control Systems
808,VGG,2020,Computer Science
809,VGG,2017,Chemistry
810,VGG,2017,Science & Technology - Other Topics
811,VGG,2017,Materials Science
812,VGG,2017,Physics
813,VGG,2021,Computer Science
814,VGG,2021,Engineering
815,VGG,2021,Telecommunications
816,VGG,2022,"Radiology, Nuclear Medicine & Medical Imaging"
817,VGG,2022,Computer Science
818,VGG,2022,Telecommunications
819,VGG,2020,Computer Science
820,VGG,2020,Engineering
821,VGG,2018,Computer Science
822,VGG,2021,Engineering
823,VGG,2021,Optics
824,VGG,2021,Imaging Science & Photographic Technology
825,VGG,2016,Computer Science
826,VGG,2016,Engineering
827,VGG,2022,Computer Science
828,VGG,2019,"Radiology, Nuclear Medicine & Medical Imaging"
829,VGG,2017,Computer Science
830,VGG,2022,Computer Science
831,VGG,2022,Engineering
832,VGG,2021,Computer Science
833,VGG,2021,Computer Science
834,VGG,2021,Engineering
835,VGG,2021,Imaging Science & Photographic Technology
836,VGG,2021,Telecommunications
837,VGG,2019,Engineering
838,VGG,2019,Optics
839,VGG,2019,Imaging Science & Photographic Technology
840,VGG,2017,Computer Science
841,VGG,2017,Imaging Science & Photographic Technology
842,VGG,2020,Automation & Control Systems
843,VGG,2015,Geochemistry & Geophysics
844,VGG,2015,Others
845,VGG,2015,Remote Sensing
846,VGG,2020,Optics
847,VGG,2020,Agriculture
848,VGG,2020,Computer Science
849,VGG,2019,Geochemistry & Geophysics
850,VGG,2019,Engineering
851,VGG,2019,Remote Sensing
852,VGG,2019,Imaging Science & Photographic Technology
853,VGG,2020,Computer Science
854,VGG,2020,Engineering
855,VGG,2018,Computer Science
856,VGG,2018,Imaging Science & Photographic Technology
857,VGG,2018,Computer Science
858,VGG,2015,Science & Technology - Other Topics
859,VGG,2022,Computer Science
860,VGG,2020,General & Internal Medicine
861,VGG,2022,Geochemistry & Geophysics
862,VGG,2022,Others
